Agency,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Population.2016,Population.2017,Population.2018,Population.2019,Population.2020,Population.2021,Population.2022,Population.2023,Population.2024,Crude.Rate.2016,Crude.Rate.2017,Crude.Rate.2018,Crude.Rate.2019,Crude.Rate.2020,Crude.Rate.2021,Crude.Rate.2022,Crude.Rate.2023,Crude.Rate.2024,SMR.2019,SMR.2020,SMR.2021,SMR.2022,SMR.2023,SMR.2024
BoP - Oklahoma,4,2,8,4,7,3,0,NA,NA,4306,4131,4340,4679,3340,2450,2093,2285,NA,9.289363678588018,4.841442749939482,18.433179723502302,8.548835221201111,20.958083832335326,12.244897959183673,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Oregon,3,1,3,1,1,5,0,NA,NA,1735,1680,1674,1745,1585,1579,1443,1534,NA,17.29106628242075,5.9523809523809526,17.921146953405017,5.730659025787965,6.309148264984228,31.665611146295124,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Pennsylvania,13,12,10,9,7,10,2,NA,NA,12955,12004,12265,11961,10522,8425,9288,8890,NA,10.034735623311462,9.99666777740753,8.153281695882592,7.524454477050414,6.652727618323513,11.869436201780415,2.153316106804479,NA,NA,NA,NA,NA,NA,NA,NA
BoP - South Carolina,4,4,6,4,6,8,0,NA,NA,6272,5926,5899,5912,4175,4835,5023,5159,NA,6.377551020408163,6.749915626054674,10.171215460247499,6.765899864682003,14.37125748502994,16.546018614270942,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - South Dakota,1,0,0,0,0,0,0,NA,NA,538,470,553,482,356,305,294,392,NA,18.587360594795538,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Tennessee,2,2,0,1,4,5,0,NA,NA,1265,1294,1308,1312,1140,1071,1245,1214,NA,15.810276679841897,15.455950540958268,0,7.621951219512195,35.08771929824562,46.68534080298786,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Texas,42,59,47,53,46,52,3,NA,NA,27853,27424,24396,24978,21532,21630,16336,16476,NA,15.079165619502387,21.514002333722285,19.26545335300869,21.21867243173993,21.363551922719672,24.040684234858993,1.8364348677766895,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Virginia,7,4,6,5,11,6,1,NA,NA,4338,4353,4002,4267,3738,3400,3780,3969,NA,16.136468418626094,9.189065012634964,14.992503748125937,11.717834544176236,29.4275013376137,17.647058823529413,2.6455026455026456,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Washington,2,4,3,0,0,3,0,NA,NA,580,647,689,666,585,689,818,726,NA,34.48275862068965,61.82380216383307,43.54136429608128,0,0,43.54136429608128,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Wisconsin,0,0,1,0,1,0,0,NA,NA,1004,1006,989,1003,897,960,1087,1142,NA,0,0,10.111223458038424,0,11.148272017837234,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - West Virginia,6,9,11,7,12,15,2,NA,NA,10244,9677,9700,9159,8032,8792,9578,9834,NA,5.857087075361187,9.30040301746409,11.340206185567009,7.642755759362375,14.9402390438247,17.060964513193813,2.088118605136772,NA,NA,NA,NA,NA,NA,NA,NA
